Template model,Target model,Target chemical,Target ID,Air_condition,Carbon source,Target reaction,MIN_R
iJN1463,iJN1463_1pyr5c,1-pyrroline-5-carboxylate,1pyr5c,aerobic,D-glucose,GLCtex,1.0
iJN1463,iJN1463_1pyr5c,1-pyrroline-5-carboxylate,1pyr5c,aerobic,D-glucose,NH4tpp,0.9971
iJN1463,iJN1463_1pyr5c,1-pyrroline-5-carboxylate,1pyr5c,aerobic,D-glucose,EDD,0.9897
iJN1463,iJN1463_1pyr5c,1-pyrroline-5-carboxylate,1pyr5c,aerobic,D-glucose,EDA,0.9897
iJN1463,iJN1463_1pyr5c,1-pyrroline-5-carboxylate,1pyr5c,aerobic,D-glucose,CS,0.9733
iJN1463,iJN1463_1pyr5c,1-pyrroline-5-carboxylate,1pyr5c,aerobic,D-glucose,ACONTb,0.9661
iJN1463,iJN1463_1pyr5c,1-pyrroline-5-carboxylate,1pyr5c,aerobic,D-glucose,ACONTa,0.9661
iJN1463,iJN1463_1pyr5c,1-pyrroline-5-carboxylate,1pyr5c,aerobic,D-glucose,ENO,0.9241
iJN1463,iJN1463_1pyr5c,1-pyrroline-5-carboxylate,1pyr5c,aerobic,D-glucose,GLU5K,0.8949
iJN1463,iJN1463_1pyr5c,1-pyrroline-5-carboxylate,1pyr5c,aerobic,D-glucose,GLCDpp,0.6735
iJN1463,iJN1463_1pyr5c,1-pyrroline-5-carboxylate,1pyr5c,aerobic,D-glucose,GLCNt2rpp,0.6735
iJN1463,iJN1463_1pyr5c,1-pyrroline-5-carboxylate,1pyr5c,aerobic,D-glucose,GNK,0.6735
iJN1463,iJN1463_1pyr5c,1-pyrroline-5-carboxylate,1pyr5c,aerobic,D-glucose,GLYK,0.5222
iJN1463,iJN1463_1pyr5c,1-pyrroline-5-carboxylate,1pyr5c,aerobic,D-glucose,G3PD5,0.5222
iJN1463,iJN1463_1pyr5c,1-pyrroline-5-carboxylate,1pyr5c,aerobic,D-glucose,GLXCL,0.5222
iJN1463,iJN1463_1pyr5c,1-pyrroline-5-carboxylate,1pyr5c,aerobic,D-glucose,ICL,0.5222
iJN1463,iJN1463_2dda7p,7-phospho-2-dehydro-3-deoxy-D-arabino-heptonate,2dda7p,aerobic,D-glucose,DDPA,1.0
iJN1463,iJN1463_2dda7p,7-phospho-2-dehydro-3-deoxy-D-arabino-heptonate,2dda7p,aerobic,D-glucose,GLCtex,1.0
iJN1463,iJN1463_2dda7p,7-phospho-2-dehydro-3-deoxy-D-arabino-heptonate,2dda7p,aerobic,D-glucose,TKT2,0.9465
iJN1463,iJN1463_2dda7p,7-phospho-2-dehydro-3-deoxy-D-arabino-heptonate,2dda7p,aerobic,D-glucose,TKT1,0.8583
iJN1463,iJN1463_2dda7p,7-phospho-2-dehydro-3-deoxy-D-arabino-heptonate,2dda7p,aerobic,D-glucose,TALA,0.8549
iJN1463,iJN1463_2dda7p,7-phospho-2-dehydro-3-deoxy-D-arabino-heptonate,2dda7p,aerobic,D-glucose,ENO,0.7094
iJN1463,iJN1463_2dda7p,7-phospho-2-dehydro-3-deoxy-D-arabino-heptonate,2dda7p,aerobic,D-glucose,EDA,0.6683
iJN1463,iJN1463_2dda7p,7-phospho-2-dehydro-3-deoxy-D-arabino-heptonate,2dda7p,aerobic,D-glucose,EDD,0.6683
iJN1463,iJN1463_2dda7p,7-phospho-2-dehydro-3-deoxy-D-arabino-heptonate,2dda7p,aerobic,D-glucose,GNK,0.6576
iJN1463,iJN1463_2dda7p,7-phospho-2-dehydro-3-deoxy-D-arabino-heptonate,2dda7p,aerobic,D-glucose,GLCNt2rpp,0.6576
iJN1463,iJN1463_2dda7p,7-phospho-2-dehydro-3-deoxy-D-arabino-heptonate,2dda7p,aerobic,D-glucose,GLCDpp,0.6576
iJN1463,iJN1463_2dda7p,7-phospho-2-dehydro-3-deoxy-D-arabino-heptonate,2dda7p,aerobic,D-glucose,CS,0.5562
iJN1463,iJN1463_2dda7p,7-phospho-2-dehydro-3-deoxy-D-arabino-heptonate,2dda7p,aerobic,D-glucose,SUCDi,0.5469
iJN1463,iJN1463_2dda7p,7-phospho-2-dehydro-3-deoxy-D-arabino-heptonate,2dda7p,aerobic,D-glucose,ICL,0.5222
iJN1463,iJN1463_2dda7p,7-phospho-2-dehydro-3-deoxy-D-arabino-heptonate,2dda7p,aerobic,D-glucose,GND,0.5222
iJN1463,iJN1463_2dda7p,7-phospho-2-dehydro-3-deoxy-D-arabino-heptonate,2dda7p,aerobic,D-glucose,GLXCL,0.5222
iJN1463,iJN1463_2dda7p,7-phospho-2-dehydro-3-deoxy-D-arabino-heptonate,2dda7p,aerobic,D-glucose,GLYK,0.5222
iJN1463,iJN1463_2dda7p,7-phospho-2-dehydro-3-deoxy-D-arabino-heptonate,2dda7p,aerobic,D-glucose,ACONTb,0.4961
iJN1463,iJN1463_2dda7p,7-phospho-2-dehydro-3-deoxy-D-arabino-heptonate,2dda7p,aerobic,D-glucose,ACONTa,0.4961
iJN1463,iJN1463_2dda7p,7-phospho-2-dehydro-3-deoxy-D-arabino-heptonate,2dda7p,aerobic,D-glucose,ALCD19,0.3706
iJN1463,iJN1463_2mbtoh,2-methylbutan-1-ol,2mbtoh,aerobic,D-glucose,KARA2,1.0
iJN1463,iJN1463_2mbtoh,2-methylbutan-1-ol,2mbtoh,aerobic,D-glucose,DHAD2,1.0
iJN1463,iJN1463_2mbtoh,2-methylbutan-1-ol,2mbtoh,aerobic,D-glucose,ACHBS,1.0
iJN1463,iJN1463_2mbtoh,2-methylbutan-1-ol,2mbtoh,aerobic,D-glucose,GLCtex,1.0
iJN1463,iJN1463_2mbtoh,2-methylbutan-1-ol,2mbtoh,aerobic,D-glucose,THRA,0.98
iJN1463,iJN1463_2mbtoh,2-methylbutan-1-ol,2mbtoh,aerobic,D-glucose,EDA,0.9618
iJN1463,iJN1463_2mbtoh,2-methylbutan-1-ol,2mbtoh,aerobic,D-glucose,EDD,0.9618
iJN1463,iJN1463_2mbtoh,2-methylbutan-1-ol,2mbtoh,aerobic,D-glucose,THRD_L,0.9562
iJN1463,iJN1463_2mbtoh,2-methylbutan-1-ol,2mbtoh,aerobic,D-glucose,PSP_L,0.9295
iJN1463,iJN1463_2mbtoh,2-methylbutan-1-ol,2mbtoh,aerobic,D-glucose,PSERT,0.9295
iJN1463,iJN1463_2mbtoh,2-methylbutan-1-ol,2mbtoh,aerobic,D-glucose,PGCD,0.9295
iJN1463,iJN1463_2mbtoh,2-methylbutan-1-ol,2mbtoh,aerobic,D-glucose,GLCDpp,0.6952
iJN1463,iJN1463_2mbtoh,2-methylbutan-1-ol,2mbtoh,aerobic,D-glucose,GLCNt2rpp,0.6952
iJN1463,iJN1463_2mbtoh,2-methylbutan-1-ol,2mbtoh,aerobic,D-glucose,GNK,0.6952
iJN1463,iJN1463_2mbtoh,2-methylbutan-1-ol,2mbtoh,aerobic,D-glucose,GLYK,0.5893
iJN1463,iJN1463_2mbtoh,2-methylbutan-1-ol,2mbtoh,aerobic,D-glucose,GLXCL,0.5892
iJN1463,iJN1463_2mbtoh,2-methylbutan-1-ol,2mbtoh,aerobic,D-glucose,ICL,0.5892
iJN1463,iJN1463_2mbtoh,2-methylbutan-1-ol,2mbtoh,aerobic,D-glucose,HEX1,0.5659
iJN1463,iJN1463_2mbtoh,2-methylbutan-1-ol,2mbtoh,aerobic,D-glucose,GLCabcpp,0.5659
iJN1463,iJN1463_2mbtoh,2-methylbutan-1-ol,2mbtoh,aerobic,D-glucose,PGL,0.5485
iJN1463,iJN1463_2mbtoh,2-methylbutan-1-ol,2mbtoh,aerobic,D-glucose,ENO,0.5477
iJN1463,iJN1463_2mbtoh,2-methylbutan-1-ol,2mbtoh,aerobic,D-glucose,ALCD19,0.2635
iJN1463,iJN1463_2obut,2-oxobutanoate,2obut,aerobic,D-glucose,GLCtex,1.0
iJN1463,iJN1463_2obut,2-oxobutanoate,2obut,aerobic,D-glucose,THRA,0.997
iJN1463,iJN1463_2obut,2-oxobutanoate,2obut,aerobic,D-glucose,ACALD,0.9869
iJN1463,iJN1463_2obut,2-oxobutanoate,2obut,aerobic,D-glucose,THRD_L,0.98
iJN1463,iJN1463_2obut,2-oxobutanoate,2obut,aerobic,D-glucose,EDA,0.9778
iJN1463,iJN1463_2obut,2-oxobutanoate,2obut,aerobic,D-glucose,EDD,0.9778
iJN1463,iJN1463_2obut,2-oxobutanoate,2obut,aerobic,D-glucose,PGCD,0.9635
iJN1463,iJN1463_2obut,2-oxobutanoate,2obut,aerobic,D-glucose,PSP_L,0.9635
iJN1463,iJN1463_2obut,2-oxobutanoate,2obut,aerobic,D-glucose,PSERT,0.9635
iJN1463,iJN1463_2obut,2-oxobutanoate,2obut,aerobic,D-glucose,GLYK,0.755
iJN1463,iJN1463_2obut,2-oxobutanoate,2obut,aerobic,D-glucose,GLXCL,0.755
iJN1463,iJN1463_2obut,2-oxobutanoate,2obut,aerobic,D-glucose,ICL,0.7549
iJN1463,iJN1463_2obut,2-oxobutanoate,2obut,aerobic,D-glucose,GNK,0.6761
iJN1463,iJN1463_2obut,2-oxobutanoate,2obut,aerobic,D-glucose,GLCNt2rpp,0.6761
iJN1463,iJN1463_2obut,2-oxobutanoate,2obut,aerobic,D-glucose,GLCDpp,0.6761
iJN1463,iJN1463_2obut,2-oxobutanoate,2obut,aerobic,D-glucose,ALCD19,0.6674
iJN1463,iJN1463_2obut,2-oxobutanoate,2obut,aerobic,D-glucose,ENO,0.1376
iJN1463,iJN1463_2oxoadp,2-oxoadipate(2-),2oxoadp,aerobic,D-glucose,GLCtex,0.9998
iJN1463,iJN1463_2oxoadp,2-oxoadipate(2-),2oxoadp,aerobic,D-glucose,EDD,0.9854
iJN1463,iJN1463_2oxoadp,2-oxoadipate(2-),2oxoadp,aerobic,D-glucose,EDA,0.9854
iJN1463,iJN1463_2oxoadp,2-oxoadipate(2-),2oxoadp,aerobic,D-glucose,CS,0.9519
iJN1463,iJN1463_2oxoadp,2-oxoadipate(2-),2oxoadp,aerobic,D-glucose,ACONTb,0.941
iJN1463,iJN1463_2oxoadp,2-oxoadipate(2-),2oxoadp,aerobic,D-glucose,ACONTa,0.941
iJN1463,iJN1463_2oxoadp,2-oxoadipate(2-),2oxoadp,aerobic,D-glucose,ENO,0.9222
iJN1463,iJN1463_2oxoadp,2-oxoadipate(2-),2oxoadp,aerobic,D-glucose,PGM,0.8558
iJN1463,iJN1463_2oxoadp,2-oxoadipate(2-),2oxoadp,aerobic,D-glucose,GLXCL,0.8476
iJN1463,iJN1463_2oxoadp,2-oxoadipate(2-),2oxoadp,aerobic,D-glucose,ICL,0.8476
iJN1463,iJN1463_2oxoadp,2-oxoadipate(2-),2oxoadp,aerobic,D-glucose,ICDHyr,0.7916
iJN1463,iJN1463_2oxoadp,2-oxoadipate(2-),2oxoadp,aerobic,D-glucose,PGK,0.7339
iJN1463,iJN1463_2oxoadp,2-oxoadipate(2-),2oxoadp,aerobic,D-glucose,GLCDpp,0.6867
iJN1463,iJN1463_2oxoadp,2-oxoadipate(2-),2oxoadp,aerobic,D-glucose,GLCNt2rpp,0.6867
iJN1463,iJN1463_2oxoadp,2-oxoadipate(2-),2oxoadp,aerobic,D-glucose,GNK,0.6867
iJN1463,iJN1463_2oxoadp,2-oxoadipate(2-),2oxoadp,aerobic,D-glucose,NDPK5,0.6136
iJN1463,iJN1463_2oxoadp,2-oxoadipate(2-),2oxoadp,aerobic,D-glucose,GLYK,0.6045
iJN1463,iJN1463_2oxoadp,2-oxoadipate(2-),2oxoadp,aerobic,D-glucose,G3PD5,0.6035
iJN1463,iJN1463_2oxoadp,2-oxoadipate(2-),2oxoadp,aerobic,D-glucose,GLYALDDr,0.4946
iJN1463,iJN1463_2oxoadp,2-oxoadipate(2-),2oxoadp,aerobic,D-glucose,ALCD19,0.4748
iJN1463,iJN1463_2ppoh,propan-2-ol,2ppoh,aerobic,D-glucose,GLCtex,0.9999
iJN1463,iJN1463_2ppoh,propan-2-ol,2ppoh,aerobic,D-glucose,EDA,0.9752
iJN1463,iJN1463_2ppoh,propan-2-ol,2ppoh,aerobic,D-glucose,EDD,0.9752
iJN1463,iJN1463_2ppoh,propan-2-ol,2ppoh,aerobic,D-glucose,ACALD,0.9732
iJN1463,iJN1463_2ppoh,propan-2-ol,2ppoh,aerobic,D-glucose,ENO,0.9175
iJN1463,iJN1463_2ppoh,propan-2-ol,2ppoh,aerobic,D-glucose,GLXCL,0.8561
iJN1463,iJN1463_2ppoh,propan-2-ol,2ppoh,aerobic,D-glucose,ICL,0.8476
iJN1463,iJN1463_2ppoh,propan-2-ol,2ppoh,aerobic,D-glucose,GLYK,0.7246
iJN1463,iJN1463_2ppoh,propan-2-ol,2ppoh,aerobic,D-glucose,GLCDpp,0.6782
iJN1463,iJN1463_2ppoh,propan-2-ol,2ppoh,aerobic,D-glucose,GNK,0.6782
iJN1463,iJN1463_2ppoh,propan-2-ol,2ppoh,aerobic,D-glucose,GLCNt2rpp,0.6782
iJN1463,iJN1463_2ppoh,propan-2-ol,2ppoh,aerobic,D-glucose,GLCabcpp,0.6589
iJN1463,iJN1463_2ppoh,propan-2-ol,2ppoh,aerobic,D-glucose,HEX1,0.6589
iJN1463,iJN1463_2ppoh,propan-2-ol,2ppoh,aerobic,D-glucose,PGL,0.6529
iJN1463,iJN1463_2ppoh,propan-2-ol,2ppoh,aerobic,D-glucose,ALCD19,0.6122
iJN1463,iJN1463_34dhbz,"3,4-dihydroxybenzoate",34dhbz,aerobic,D-glucose,DDPA,1.0
iJN1463,iJN1463_34dhbz,"3,4-dihydroxybenzoate",34dhbz,aerobic,D-glucose,DHQS,1.0
iJN1463,iJN1463_34dhbz,"3,4-dihydroxybenzoate",34dhbz,aerobic,D-glucose,GLCtex,1.0
iJN1463,iJN1463_34dhbz,"3,4-dihydroxybenzoate",34dhbz,aerobic,D-glucose,DHSKDH,0.9866
iJN1463,iJN1463_34dhbz,"3,4-dihydroxybenzoate",34dhbz,aerobic,D-glucose,TKT2,0.947
iJN1463,iJN1463_34dhbz,"3,4-dihydroxybenzoate",34dhbz,aerobic,D-glucose,TKT1,0.8597
iJN1463,iJN1463_34dhbz,"3,4-dihydroxybenzoate",34dhbz,aerobic,D-glucose,TALA,0.8564
iJN1463,iJN1463_34dhbz,"3,4-dihydroxybenzoate",34dhbz,aerobic,D-glucose,ENO,0.7026
iJN1463,iJN1463_34dhbz,"3,4-dihydroxybenzoate",34dhbz,aerobic,D-glucose,EDD,0.6667
iJN1463,iJN1463_34dhbz,"3,4-dihydroxybenzoate",34dhbz,aerobic,D-glucose,EDA,0.6667
iJN1463,iJN1463_34dhbz,"3,4-dihydroxybenzoate",34dhbz,aerobic,D-glucose,GLCDpp,0.6574
iJN1463,iJN1463_34dhbz,"3,4-dihydroxybenzoate",34dhbz,aerobic,D-glucose,GLCNt2rpp,0.6574
iJN1463,iJN1463_34dhbz,"3,4-dihydroxybenzoate",34dhbz,aerobic,D-glucose,GNK,0.6574
iJN1463,iJN1463_34dhbz,"3,4-dihydroxybenzoate",34dhbz,aerobic,D-glucose,CS,0.5542
iJN1463,iJN1463_34dhbz,"3,4-dihydroxybenzoate",34dhbz,aerobic,D-glucose,SUCDi,0.5448
iJN1463,iJN1463_34dhbz,"3,4-dihydroxybenzoate",34dhbz,aerobic,D-glucose,GLXCL,0.5222
iJN1463,iJN1463_34dhbz,"3,4-dihydroxybenzoate",34dhbz,aerobic,D-glucose,GND,0.5222
iJN1463,iJN1463_34dhbz,"3,4-dihydroxybenzoate",34dhbz,aerobic,D-glucose,GLYK,0.5222
iJN1463,iJN1463_34dhbz,"3,4-dihydroxybenzoate",34dhbz,aerobic,D-glucose,ICL,0.5222
iJN1463,iJN1463_34dhbz,"3,4-dihydroxybenzoate",34dhbz,aerobic,D-glucose,ACONTb,0.4935
iJN1463,iJN1463_34dhbz,"3,4-dihydroxybenzoate",34dhbz,aerobic,D-glucose,ACONTa,0.4935
iJN1463,iJN1463_34dhbz,"3,4-dihydroxybenzoate",34dhbz,aerobic,D-glucose,ALCD19,0.3741
iJN1463,iJN1463_34dhbz_path_1,"3,4-dihydroxybenzoate",34dhbz,aerobic,D-glucose,DDPA,1.0
