Template model,Target model,Target chemical,Target ID,Air condition,Carbon source,Target reactions,Improved YT (mol/mol),Previous YT (mol/mol),Increased percentage (%)
yeast850,yeast850_actn__R,(R)-acetoin,actn__R,microaerobic,D-galactose,GCALDDy;HPYRDC;SPTc,1.26666666666666,1.23599999999999,2.48112189859766
yeast850,yeast850_actn__R,(R)-acetoin,actn__R,microaerobic,glycerol,GCALDDy;HPYRDC;HPYRP,0.766666666666666,0.718,6.77808727947995
yeast850,yeast850_actn__R,(R)-acetoin,actn__R,microaerobic,glycerol,MTHFR,0.746666666666666,0.718,3.99257195914566
yeast850,yeast850_actn__R,(R)-acetoin,actn__R,microaerobic,glycerol,ACOAD7f;CTECOAI7,0.759999999999999,0.718,5.84958217270181
yeast850,yeast850_actn__R,(R)-acetoin,actn__R,microaerobic,glycerol,ADHEr,0.766666666666666,0.718,6.77808727947995
yeast850,yeast850_actn__R,(R)-acetoin,actn__R,microaerobic,glycerol,ACOAD7f;r1252,0.759999999999999,0.718,5.84958217270181
yeast850,yeast850_actn__R,(R)-acetoin,actn__R,microaerobic,glycerol,GCALDD;HPYRDC;HPYRP,0.766666666666666,0.718,6.77808727947997
yeast850,yeast850_actn__R,(R)-acetoin,actn__R,microaerobic,glycerol,ACOAD8f;CTECOAI8;FACOAL181,0.760000000000001,0.718,5.84958217270201
yeast850,yeast850_actn__R,(R)-acetoin,actn__R,microaerobic,glycerol,FMNRx2_copy1,0.766666666666665,0.718,6.77808727947979
yeast850,yeast850_actn__R,(R)-acetoin,actn__R,microaerobic,glycerol,GCALDD;HPYRDC;SPTc,0.766666666666666,0.718,6.77808727947995
yeast850,yeast850_actn__R,(R)-acetoin,actn__R,microaerobic,glycerol,FDH7;POR_2,0.766666666666667,0.718,6.77808727947999
yeast850,yeast850_actn__R,(R)-acetoin,actn__R,microaerobic,glycerol,GCALDDy;HPYRDC;SPTc,0.766666666666666,0.718,6.77808727947992
yeast850,yeast850_actn__R,(R)-acetoin,actn__R,microaerobic,D-xylose,GCALDDy;HPYRDC;SPTc,1.06666666666666,1.03,3.5598705501618
yeast850,yeast850_actn__R,(R)-acetoin,actn__R,microaerobic,D-xylose,GCALDDy;HPYRDC;HPYRP,1.06666666666666,1.03,3.55987055016182
yeast850,yeast850_actn__R,(R)-acetoin,actn__R,microaerobic,D-xylose,MTHFR,1.04666666666666,1.03,1.61812297734627
yeast850,yeast850_actn__R,(R)-acetoin,actn__R,microaerobic,D-xylose,ACOAD7f;CTECOAI7,1.06,1.03,2.9126213592233
yeast850,yeast850_actn__R,(R)-acetoin,actn__R,microaerobic,D-xylose,ADHEr,1.06666666666666,1.03,3.55987055016204
yeast850,yeast850_actn__R,(R)-acetoin,actn__R,microaerobic,D-xylose,GCALDD;HPYRDC;HPYRP,1.06666666666666,1.03,3.55987055016182
yeast850,yeast850_actn__R,(R)-acetoin,actn__R,microaerobic,D-xylose,ACOAD8f;CTECOAI8;FACOAL181,1.06,1.03,2.9126213592233
yeast850,yeast850_actn__R,(R)-acetoin,actn__R,microaerobic,D-xylose,FMNRx2_copy1,1.06666666666666,1.03,3.55987055016182
yeast850,yeast850_actn__R,(R)-acetoin,actn__R,microaerobic,D-xylose,GCALDD;HPYRDC;SPTc,1.06666666666666,1.03,3.55987055016182
yeast850,yeast850_actn__R,(R)-acetoin,actn__R,microaerobic,D-xylose,FDH7;POR_2,1.06666666666666,1.03,3.55987055016182
yeast850,yeast850_actn__R,(R)-acetoin,actn__R,microaerobic,D-xylose,ACOAD7f;r1252,1.06,1.03,2.9126213592233
yeast850,yeast850_actn__R,(R)-acetoin,actn__R,microaerobic,L-arabinose,GCALDDy;HPYRDC;SPTc,1.06666666666666,1.03,3.55987055016184
yeast850,yeast850_actn__R,(R)-acetoin,actn__R,microaerobic,L-arabinose,GCALDDy;HPYRDC;HPYRP,1.06666666666666,1.03,3.55987055016184
yeast850,yeast850_actn__R,(R)-acetoin,actn__R,microaerobic,L-arabinose,MTHFR,1.04666666666666,1.03,1.61812297734633
yeast850,yeast850_actn__R,(R)-acetoin,actn__R,microaerobic,L-arabinose,ACOAD7f;CTECOAI7,1.06,1.03,2.9126213592233
yeast850,yeast850_actn__R,(R)-acetoin,actn__R,microaerobic,L-arabinose,ADHEr,1.06666666666666,1.03,3.55987055016182
yeast850,yeast850_actn__R,(R)-acetoin,actn__R,microaerobic,L-arabinose,GCALDD;HPYRDC;HPYRP,1.06666666666666,1.03,3.55987055016189
yeast850,yeast850_actn__R,(R)-acetoin,actn__R,microaerobic,L-arabinose,ACOAD8f;CTECOAI8;FACOAL181,1.06,1.03,2.91262135922332
yeast850,yeast850_actn__R,(R)-acetoin,actn__R,microaerobic,L-arabinose,FMNRx2_copy1,1.06666666666666,1.03,3.5598705501618
yeast850,yeast850_actn__R,(R)-acetoin,actn__R,microaerobic,L-arabinose,GCALDD;HPYRDC;SPTc,1.06666666666666,1.03,3.5598705501618
yeast850,yeast850_actn__R,(R)-acetoin,actn__R,microaerobic,L-arabinose,FDH7;POR_2,1.06666666666666,1.03,3.55987055016182
yeast850,yeast850_actn__R,(R)-acetoin,actn__R,microaerobic,L-arabinose,ACOAD7f;r1252,1.06,1.03,2.9126213592233
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,D-glucose,ADHEr;AOR_CL;POR_2,0.791666666666666,0.7725,2.48112189859761
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,D-glucose,GCALDDy;HPYRDC;SPTc,0.791666666666666,0.7725,2.48112189859761
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,D-glucose,FMNRx2_copy1,0.791666666666666,0.7725,2.48112189859761
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,D-glucose,ACOAD7f;r1252,0.7875,0.7725,1.94174757281551
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,D-glucose,GCALDD;HPYRDC;SPTc,0.791666666666666,0.7725,2.48112189859761
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,D-glucose,ACOAD8f;CTECOAI8;FACOAL181,0.7875,0.7725,1.94174757281551
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,D-glucose,GCALDD;HPYRDC;HPYRP,0.791666666666666,0.7725,2.48112189859761
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,D-glucose,FDH7;POR_2,0.791666666666666,0.7725,2.48112189859761
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,D-glucose,ACOAD7f;CTECOAI7,0.7875,0.7725,1.94174757281551
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,D-glucose,GCALDDy;HPYRDC;HPYRP,0.791666666666666,0.7725,2.48112189859761
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,D-glucose,ACAFDOR;ADHEr;POR_2,0.791666666666666,0.7725,2.48112189859761
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,fructose,GCALDDy;HPYRDC;SPTc,0.791666666666666,0.7725,2.48112189859761
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,fructose,ADHEr;AOR_CL;POR_2,0.791666666666666,0.7725,2.48112189859763
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,fructose,FMNRx2_copy1,0.791666666666666,0.7725,2.48112189859761
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,fructose,ACOAD7f;r1252,0.7875,0.7725,1.94174757281553
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,fructose,GCALDD;HPYRDC;SPTc,0.791666666666666,0.7725,2.48112189859763
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,fructose,ACOAD8f;CTECOAI8;FACOAL181,0.7875,0.7725,1.94174757281553
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,fructose,GCALDD;HPYRDC;HPYRP,0.791666666666666,0.7725,2.48112189859763
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,fructose,FDH7;POR_2,0.791666666666666,0.7725,2.48112189859761
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,fructose,ACOAD7f;CTECOAI7,0.7875,0.7725,1.94174757281555
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,fructose,GCALDDy;HPYRDC;HPYRP,0.791666666666666,0.7725,2.48112189859761
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,fructose,ACAFDOR;ADHEr;POR_2,0.791666666666666,0.7725,2.48112189859761
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,D-galactose,ADHEr;AOR_CL;POR_2,0.791666666666666,0.7725,2.48112189859761
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,D-galactose,GCALDDy;HPYRDC;SPTc,0.791666666666666,0.7725,2.48112189859761
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,D-galactose,FMNRx2_copy1,0.791666666666666,0.7725,2.48112189859761
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,D-galactose,ACOAD7f;r1252,0.7875,0.7725,1.94174757281551
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,D-galactose,GCALDD;HPYRDC;SPTc,0.791666666666666,0.7725,2.48112189859761
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,D-galactose,ACOAD8f;CTECOAI8;FACOAL181,0.7875,0.7725,1.94174757281553
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,D-galactose,GCALDD;HPYRDC;HPYRP,0.791666666666666,0.7725,2.48112189859761
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,D-galactose,FDH7;POR_2,0.791666666666666,0.7725,2.48112189859761
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,D-galactose,ACOAD7f;CTECOAI7,0.7875,0.7725,1.94174757281551
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,D-galactose,GCALDDy;HPYRDC;HPYRP,0.791666666666666,0.7725,2.48112189859761
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,D-galactose,ACAFDOR;ADHEr;POR_2,0.791666666666666,0.7725,2.48112189859761
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,glycerol,GCALDDy;HPYRDC;SPTc,0.479166666666666,0.44875,6.77808727948001
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,glycerol,ADHEr;AOR_CL;POR_2,0.479166666666666,0.44875,6.77808727948001
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,glycerol,FMNRx2_copy1,0.479166666666666,0.44875,6.77808727948001
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,glycerol,ACOAD7f;r1252,0.475,0.44875,5.84958217270201
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,glycerol,GCALDD;HPYRDC;SPTc,0.479166666666666,0.44875,6.77808727948001
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,glycerol,ACOAD8f;CTECOAI8;FACOAL181,0.475,0.44875,5.84958217270192
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,glycerol,GCALDD;HPYRDC;HPYRP,0.479166666666666,0.44875,6.77808727948001
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,glycerol,FDH7;POR_2,0.479166666666666,0.44875,6.77808727948001
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,glycerol,ACOAD7f;CTECOAI7,0.475,0.44875,5.84958217270192
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,glycerol,MTHFR,0.466666666666666,0.44875,3.99257195914566
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,glycerol,GCALDDy;HPYRDC;HPYRP,0.479166666666666,0.44875,6.77808727948001
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,glycerol,ACAFDOR;ADHEr;POR_2,0.479166666666666,0.44875,6.77808727948001
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,D-xylose,ACOAD7f;r1252,0.662499999999999,0.64375,2.91262135922327
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,D-xylose,GCALDDy;HPYRDC;SPTc,0.666666666666666,0.64375,3.5598705501618
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,D-xylose,FMNRx2_copy1,0.666666666666666,0.64375,3.55987055016182
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,D-xylose,ADHEr;AOR_CL;POR_2,0.666666666666666,0.64375,3.55987055016182
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,D-xylose,GCALDD;HPYRDC;SPTc,0.666666666666666,0.64375,3.55987055016182
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,D-xylose,ACOAD8f;CTECOAI8;FACOAL181,0.662499999999999,0.64375,2.91262135922314
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,D-xylose,GCALDD;HPYRDC;HPYRP,0.666666666666665,0.64375,3.55987055016164
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,D-xylose,FDH7;POR_2,0.666666666666666,0.64375,3.55987055016182
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,D-xylose,ACOAD7f;CTECOAI7,0.6625,0.64375,2.9126213592233
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,D-xylose,MTHFR,0.654166666666666,0.64375,1.61812297734624
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,D-xylose,GCALDDy;HPYRDC;HPYRP,0.666666666666666,0.64375,3.55987055016182
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,D-xylose,ACAFDOR;ADHEr;POR_2,0.666666666666666,0.64375,3.55987055016182
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,L-arabinose,ACOAD7f;r1252,0.662499999999999,0.64375,2.91262135922325
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,L-arabinose,GCALDDy;HPYRDC;SPTc,0.666666666666666,0.64375,3.5598705501618
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,L-arabinose,FMNRx2_copy1,0.666666666666666,0.64375,3.55987055016182
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,L-arabinose,ADHEr;AOR_CL;POR_2,0.666666666666666,0.64375,3.55987055016182
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,L-arabinose,GCALDD;HPYRDC;SPTc,0.666666666666666,0.64375,3.5598705501618
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,L-arabinose,ACOAD8f;CTECOAI8;FACOAL181,0.662499999999999,0.64375,2.91262135922327
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,L-arabinose,GCALDD;HPYRDC;HPYRP,0.666666666666666,0.64375,3.55987055016182
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,L-arabinose,FDH7;POR_2,0.666666666666666,0.64375,3.55987055016182
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,L-arabinose,ACOAD7f;CTECOAI7,0.6625,0.64375,2.9126213592233
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,L-arabinose,MTHFR,0.654166666666666,0.64375,1.61812297734627
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,L-arabinose,GCALDDy;HPYRDC;HPYRP,0.666666666666666,0.64375,3.55987055016182
yeast850,yeast850_met_18351,4-hydroxyhexan-3-one,met_18351,microaerobic,L-arabinose,ACAFDOR;ADHEr;POR_2,0.666666666666666,0.64375,3.55987055016182
yeast850,yeast850_fum_path_1,fumarate(2-),fum,microaerobic,D-glucose,FMNRx2_copy1,1.56666666666666,1.54,1.73160173160173
yeast850,yeast850_fum_path_1,fumarate(2-),fum,microaerobic,D-glucose,GCALDDy;HPYRDC;SPTc,1.56666666666666,1.54,1.73160173160171
yeast850,yeast850_fum_path_1,fumarate(2-),fum,microaerobic,D-glucose,GCALDD;HPYRDC;SPTc,1.56666666666666,1.54,1.73160173160171
yeast850,yeast850_fum_path_1,fumarate(2-),fum,microaerobic,D-glucose,GCALDDy;HPYRDC;HPYRP,1.56666666666666,1.54,1.73160173160176
yeast850,yeast850_fum_path_1,fumarate(2-),fum,microaerobic,D-glucose,GCALDD;HPYRDC;HPYRP,1.56666666666666,1.54,1.73160173160171
yeast850,yeast850_fum_path_1,fumarate(2-),fum,microaerobic,D-glucose,ACAFDOR;ADHEr;POR_2,1.56666666666666,1.54,1.73160173160176
yeast850,yeast850_fum_path_1,fumarate(2-),fum,microaerobic,D-glucose,ACOAD8f;CTECOAI8;FACOAL181,1.56666666666666,1.54,1.73160173160171
yeast850,yeast850_fum_path_1,fumarate(2-),fum,microaerobic,D-glucose,ACOAD7f;CTECOAI7,1.56666666666666,1.54,1.73160173160176
yeast850,yeast850_fum_path_1,fumarate(2-),fum,microaerobic,D-glucose,ACOAD7f;r1252,1.56666666666666,1.54,1.73160173160171
yeast850,yeast850_fum_path_1,fumarate(2-),fum,microaerobic,D-glucose,FDH7;POR_2,1.56666666666666,1.54,1.73160173160151
yeast850,yeast850_fum_path_1,fumarate(2-),fum,microaerobic,D-glucose,ADHEr;AOR_CL;POR_2,1.56666666666666,1.54,1.73160173160176
yeast850,yeast850_fum_path_1,fumarate(2-),fum,microaerobic,fructose,FMNRx2_copy1,1.56666666666666,1.53999999999999,1.73160173160173
yeast850,yeast850_fum_path_1,fumarate(2-),fum,microaerobic,fructose,GCALDDy;HPYRDC;SPTc,1.56666666666666,1.53999999999999,1.73160173160173
yeast850,yeast850_fum_path_1,fumarate(2-),fum,microaerobic,fructose,GCALDD;HPYRDC;SPTc,1.56666666666666,1.53999999999999,1.73160173160153
yeast850,yeast850_fum_path_1,fumarate(2-),fum,microaerobic,fructose,GCALDDy;HPYRDC;HPYRP,1.56666666666666,1.53999999999999,1.73160173160176
yeast850,yeast850_fum_path_1,fumarate(2-),fum,microaerobic,fructose,GCALDD;HPYRDC;HPYRP,1.56666666666666,1.53999999999999,1.73160173160173
yeast850,yeast850_fum_path_1,fumarate(2-),fum,microaerobic,fructose,ACAFDOR;ADHEr;POR_2,1.56666666666666,1.53999999999999,1.73160173160169
yeast850,yeast850_fum_path_1,fumarate(2-),fum,microaerobic,fructose,ACOAD8f;CTECOAI8;FACOAL181,1.56666666666666,1.53999999999999,1.73160173160176
yeast850,yeast850_fum_path_1,fumarate(2-),fum,microaerobic,fructose,ACOAD7f;CTECOAI7,1.56666666666666,1.53999999999999,1.73160173160173
yeast850,yeast850_fum_path_1,fumarate(2-),fum,microaerobic,fructose,ACOAD7f;r1252,1.56666666666666,1.53999999999999,1.73160173160173
yeast850,yeast850_fum_path_1,fumarate(2-),fum,microaerobic,fructose,FDH7;POR_2,1.56666666666666,1.53999999999999,1.73160173160176
yeast850,yeast850_fum_path_1,fumarate(2-),fum,microaerobic,fructose,ADHEr;AOR_CL;POR_2,1.56666666666666,1.53999999999999,1.73160173160173
yeast850,yeast850_fum_path_1,fumarate(2-),fum,microaerobic,D-galactose,FMNRx2_copy1,1.56666666666666,1.54,1.73160173160171
yeast850,yeast850_fum_path_1,fumarate(2-),fum,microaerobic,D-galactose,GCALDDy;HPYRDC;SPTc,1.56666666666666,1.54,1.73160173160171
yeast850,yeast850_fum_path_1,fumarate(2-),fum,microaerobic,D-galactose,GCALDD;HPYRDC;SPTc,1.56666666666666,1.54,1.73160173160169
yeast850,yeast850_fum_path_1,fumarate(2-),fum,microaerobic,D-galactose,GCALDDy;HPYRDC;HPYRP,1.56666666666666,1.54,1.73160173160169
yeast850,yeast850_fum_path_1,fumarate(2-),fum,microaerobic,D-galactose,GCALDD;HPYRDC;HPYRP,1.56666666666666,1.54,1.73160173160169
yeast850,yeast850_fum_path_1,fumarate(2-),fum,microaerobic,D-galactose,ACAFDOR;ADHEr;POR_2,1.56666666666666,1.54,1.73160173160171
yeast850,yeast850_fum_path_1,fumarate(2-),fum,microaerobic,D-galactose,ACOAD8f;CTECOAI8;FACOAL181,1.56666666666666,1.54,1.73160173160171
yeast850,yeast850_fum_path_1,fumarate(2-),fum,microaerobic,D-galactose,ACOAD7f;CTECOAI7,1.56666666666666,1.54,1.73160173160178
yeast850,yeast850_fum_path_1,fumarate(2-),fum,microaerobic,D-galactose,ACOAD7f;r1252,1.56666666666666,1.54,1.73160173160169
yeast850,yeast850_fum_path_1,fumarate(2-),fum,microaerobic,D-galactose,FDH7;POR_2,1.56666666666666,1.54,1.73160173160169
yeast850,yeast850_fum_path_1,fumarate(2-),fum,microaerobic,D-galactose,ADHEr;AOR_CL;POR_2,1.56666666666666,1.54,1.73160173160171
yeast850,yeast850_fum_path_1,fumarate(2-),fum,microaerobic,glycerol,FMNRx2_copy1,0.816666666666666,0.770000000000001,6.06060606060585
yeast850,yeast850_fum_path_1,fumarate(2-),fum,microaerobic,glycerol,GCALDDy;HPYRDC;SPTc,0.816666666666666,0.770000000000001,6.06060606060587
yeast850,yeast850_fum_path_1,fumarate(2-),fum,microaerobic,glycerol,GCALDD;HPYRDC;SPTc,0.816666666666666,0.770000000000001,6.06060606060587
yeast850,yeast850_fum_path_1,fumarate(2-),fum,microaerobic,glycerol,MTHFR,0.799999999999999,0.770000000000001,3.8961038961037
yeast850,yeast850_fum_path_1,fumarate(2-),fum,microaerobic,glycerol,GCALDDy;HPYRDC;HPYRP,0.816666666666666,0.770000000000001,6.06060606060587
yeast850,yeast850_fum_path_1,fumarate(2-),fum,microaerobic,glycerol,GCALDD;HPYRDC;HPYRP,0.816666666666666,0.770000000000001,6.06060606060585
yeast850,yeast850_fum_path_1,fumarate(2-),fum,microaerobic,glycerol,ACAFDOR;ADHEr;POR_2,0.816666666666666,0.770000000000001,6.0606060606059
yeast850,yeast850_fum_path_1,fumarate(2-),fum,microaerobic,glycerol,ACOAD7f;CTECOAI7,0.816666666666666,0.770000000000001,6.06060606060583
yeast850,yeast850_fum_path_1,fumarate(2-),fum,microaerobic,glycerol,FDH7;POR_2,0.816666666666666,0.770000000000001,6.06060606060587
