Oxygen availability,aerobic,aerobic.1,aerobic.2,aerobic.3,aerobic.4,aerobic.5,aerobic.6,aerobic.7,microaerobic,microaerobic.1,anaerobic,anaerobic.1,anaerobic.2,anaerobic.3,microaerobic.2,microaerobic.3,anaerobic.4,microaerobic.4,anaerobic.5,microaerobic.5
ptrc,0.333333333333333,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
4abutn,0.333333333333333,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
orn,0.333333333333333,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
2obut,0.25,0.25,0.5,0.25,0.25,0.25,0.25,0.4,0.4,0.4,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.4,0.4,0.333333333333333,0.4,0.428571428571428,0.428571428571428
thr__L,0.25,0.25,0.5,0.25,0.25,0.25,0.25,0.4,0.4,0.4,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.4,0.4,0.333333333333333,0.4,0.428571428571428,0.428571428571428
ppoh,0.333333333333333,0.333333333333333,0.5,0.25,0.25,0.25,0.25,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.428571428571428,0.428571428571428
hom__L,0.25,0.25,0.5,0.25,0.25,0.25,0.25,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.428571428571428,0.428571428571428
met_LHMA,0.25,0.25,0.5,0.25,0.25,0.25,0.25,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.428571428571428,0.428571428571428
aspsa,0.333333333333333,0.333333333333333,0.6,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5
met_57484,0.333333333333333,0.333333333333333,0.6,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
met_39785,0.25,0.5,0.25,0.4,0.4,0.4,0.4,0.4,0.2,0.2,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333
pro__L,0.25,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333
ile__L,0.2,0.5,0.2,0.2,0.2,0.2,0.2,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.375,0.375
15dap,0.25,0.5,0.25,0.25,0.25,0.25,0.25,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.333333333333333,0.428571428571428
met_58113,0.25,0.5,0.25,0.25,0.25,0.25,0.25,0.4,0.4,0.4,0.4,0.333333333333333,0.333333333333333,0.4,0.4,0.4,0.4,0.4,0.333333333333333,0.428571428571428
36dahx,0.25,0.5,0.25,0.25,0.25,0.25,0.25,0.4,0.4,0.4,0.4,0.333333333333333,0.333333333333333,0.4,0.4,0.4,0.4,0.4,0.333333333333333,0.428571428571428
lys__L,0.25,0.5,0.25,0.25,0.25,0.25,0.25,0.4,0.4,0.4,0.4,0.333333333333333,0.333333333333333,0.4,0.4,0.4,0.4,0.4,0.333333333333333,0.428571428571428
glx,0.444444444444444,0.5,0.444444444444444,0.444444444444444,0.444444444444444,0.444444444444444,0.444444444444444,0.5,0.666666666666666,0.666666666666666,0.5,0.5,0.5,0.5,0.666666666666666,0.666666666666666,0.5,0.666666666666666,0.666666666666666,0.75
glyclt,0.444444444444444,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.75,0.75
met_HBA,0.444444444444444,0.5,0.5,0.5,0.5,0.5,0.5,0.545454545454545,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.75,0.75
3hpp,0.666666666666666,0.461538461538461,0.6,0.6,0.6,0.6,0.6,0.75,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.583333333333333,0.615384615384615
pser__L,0.5,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.75,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
etha,0.5,0.285714285714285,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6
ser__L,0.5,0.285714285714285,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.75,0.5,0.5,0.6,0.6,0.6,0.5,0.6,0.6,0.5,0.6,0.6,0.6
octp,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.666666666666666,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
arg__L,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.666666666666666,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
agm,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.666666666666666,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
5g2oxpt,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.666666666666666,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Ncbmpts,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.666666666666666,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
gly,0.5,0.333333333333333,0.5,0.5,0.5,0.5,0.5,0.555555555555555,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.555555555555555,0.555555555555555
ala_B,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.666666666666666,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
asp__L,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.666666666666666,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2oxoadp,0.375,1,1,0.375,0.375,0.375,0.375,0.444444444444444,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.666666666666666,0.666666666666666
argsuc,0.5,1,0.5,0.5,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
btoh,0.5,1,0.4,0.4,0.4,0.4,0.4,0.666666666666666,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.375,0.4
6ax,0.375,1,0.5,0.375,0.375,0.375,0.375,0.444444444444444,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.5
met_28579,0.375,1,0.5,0.5,0.5,0.5,0.5,0.444444444444444,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.5
citr__L,0.333333333333333,1,0.5,0.5,0.5,0.5,0.5,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
ibt,0.3,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.333333333333333,0.5,0.5
phenol,0,1,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
met_63910,0.444444444444444,1,0.75,0.75,0.75,0.75,0.75,1,0.571428571428571,0.571428571428571,0.571428571428571,0.571428571428571,0.571428571428571,0.571428571428571,0.571428571428571,0.571428571428571,0.571428571428571,0.571428571428571,0.555555555555555,0.555555555555555
iamoh,0.363636363636363,1,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.75,0.363636363636363,0.363636363636363,0.5,0.5,0.5,0.363636363636363,0.363636363636363,0.363636363636363,0.363636363636363,0.363636363636363,0.6,0.6
mev__R,0.375,1,0.6,0.6,0.6,0.6,0.6,0.615384615384615,0.5,0.533333333333333,0.571428571428571,0.571428571428571,0.571428571428571,0.625,0.5,0.5,0.625,0.625,0.625,0.625
5aop,0.5,1,0.5,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.4,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.555555555555555,0.555555555555555
nop,0.5,1,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
3mb,0.363636363636363,1,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6
4mop,0.363636363636363,1,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6
2mbtoh,0.2,1,0.2,0.2,1,1,1,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.375,0.375
actn__R,0.333333333333333,1,0.5,0.5,1,1,1,0.666666666666666,0.333333333333333,0.333333333333333,0.5,0.5,0.5,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666666,0.666666666666666
met_15687,0.333333333333333,1,0.5,0.5,1,1,1,0.666666666666666,0.333333333333333,0.333333333333333,0.5,0.5,0.5,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666666,0.666666666666666
met_DHB23,0.444444444444444,0.5,1,1,1,1,1,0.545454545454545,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.75,0.75
3php,0.666666666666666,1,1,1,1,1,1,0.75,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.75,0.75
sucsal,0.444444444444444,1,1,1,1,1,1,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.714285714285714,0.833333333333333
met_32383,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.666666666666666,0.666666666666666
acald,0.285714285714285,0.375,1,1,1,1,1,1,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.666666666666666,0.666666666666666
bhb,0.375,0.444444444444444,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.666666666666666,0.666666666666666
ghb,0.423076923076923,0.523809523809523,1,1,1,1,1,0.583333333333333,0.45,0.45,0.625,0.625,0.625,0.409090909090909,0.409090909090909,0.409090909090909,0.409090909090909,0.409090909090909,0.727272727272727,0.727272727272727
2ppoh,0.375,0.444444444444444,1,1,1,1,1,0.5,0.444444444444444,0.444444444444444,0.444444444444444,0.375,0.375,0.444444444444444,0.444444444444444,0.444444444444444,0.444444444444444,0.444444444444444,0.666666666666666,0.666666666666666
met_19641,0.375,0.444444444444444,1,1,1,1,1,0.5,0.375,0.375,0.333333333333333,0.333333333333333,0.333333333333333,0.375,0.375,0.375,0.375,0.375,0.666666666666666,0.666666666666666
met_74904,0.363636363636363,1,1,1,1,0.666666666666666,0.666666666666666,0.5,0.5,0.5,0.5,0.384615384615384,0.384615384615384,0.5,0.5,0.5,0.5,0.5,0.555555555555555,0.555555555555555
icit,0.375,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.666666666666666,0.666666666666666
met_62898,0,1,1,1,1,1,1,0.666666666666666,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
ipdp,0,1,1,1,1,1,1,0.666666666666666,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
met_35194,0,1,1,1,1,1,1,0.666666666666666,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
iamac,0.375,1,1,1,1,1,1,1,0.363636363636363,0.363636363636363,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6
met_89209,0.333333333333333,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6
itacon,0.375,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.666666666666666,0.666666666666666
acon_C,0.375,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.666666666666666,0.666666666666666
cit,0.375,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.666666666666666,0.666666666666666
met_5M2OPT,0.333333333333333,1,1,1,1,1,1,0.444444444444444,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6
alac__S,0.333333333333333,1,1,1,1,1,1,0.666666666666666,0.333333333333333,0.333333333333333,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.666666666666666,0.666666666666666
malon,0.5,1,1,1,1,1,1,0.666666666666666,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.666666666666666,0.666666666666666
met_4APAA,0,-1,-1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
met_4APAADH,0,-1,-1,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
caro,-1,-1,1,1,1,1,1,-1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
met_10280,-1,-1,0.714285714285714,0.714285714285714,0.714285714285714,0.714285714285714,0.714285714285714,0.666666666666666,0.555555555555555,0.555555555555555,0.555555555555555,0.555555555555555,0.555555555555555,0.555555555555555,0.555555555555555,0.555555555555555,0.555555555555555,0.555555555555555,0.555555555555555,0.555555555555555
met_61677,-1,-1,1,1,1,1,1,0.666666666666666,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
met_49243,-1,-1,1,1,1,1,1,0.666666666666666,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
met_46762,-1,-1,1,1,1,1,1,0.666666666666666,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
met_16619,-1,-1,1,1,1,1,1,0.666666666666666,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
met_10418,-1,-1,1,1,1,1,1,0.666666666666666,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
frdp,-1,-1,1,1,1,1,1,0.666666666666666,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
ggdp,-1,-1,1,1,1,1,1,0.666666666666666,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
met_2PETO,-1,-1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
met_45713,-1,-1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
for,0,-1,0.75,0.75,0.75,0.75,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.666666666666666,0.666666666666666
4hoxpac,0,-1,1,1,1,1,1,1,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
4hoxpacd,0,-1,0.666666666666666,1,1,1,1,1,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
met_50029,0,-1,1,1,1,1,1,0.666666666666666,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
met_28660,0,-1,1,1,1,1,1,0.666666666666666,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
met_17447,0,-1,1,1,1,1,1,0.666666666666666,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
met_17221,0,-1,1,1,1,1,1,0.666666666666666,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
grdp,0,-1,1,1,1,1,1,0.666666666666666,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
limnen,0,-1,1,1,1,1,1,0.666666666666666,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
met_4APEAM,0,-1,1,1,1,1,1,1,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
met_143072,0,-1,1,1,1,1,1,1,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
met_4ACAA,0,-1,1,1,1,1,1,1,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
1acpc,0,-1,0.6,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.272727272727272,0.272727272727272,0.272727272727272,0.272727272727272,0.272727272727272,0.272727272727272,0.272727272727272,0.272727272727272,0.272727272727272,0.272727272727272,0.333333333333333,0.333333333333333
met_143075,0.5,-1,0.75,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.75,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666
met_58644,0.5,-1,0.75,0.5,0.5,0.5,0.5,0.666666666666666,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
tyr__L,0,-1,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
T4hcinnm,0,-1,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
met_1883,0,-1,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
glyc__R,0.666666666666666,1,-1,-1,1,1,1,1,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.75,0.75
met_R13BDO,1,1,-1,-1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,0.666666666666666,0.666666666666666
glyald,0.75,-1,-1,-1,-1,-1,-1,1,0.75,-1,0.75,0.75,0.75,0.75,-1,-1,0.75,-1,0.8,0.8
3mob,0.333333333333333,1,-1,-1,-1,0.5,0.5,0.5,-1,-1,0.333333333333333,0.333333333333333,0.333333333333333,0.3,0.3,0.3,0.3,0.5,0.5,0.5
acryl,0.5,0.333333333333333,-1,-1,-1,-1,-1,-1,-1,-1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.666666666666666,0.666666666666666
met_28398,0.666666666666666,1,-1,-1,-1,-1,-1,0.8,-1,-1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.666666666666666,0.666666666666666
glyc3p,0,0.5,0,0,0,0,0,-1,0.666666666666666,0.666666666666666,0.5,0.5,0.5,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666
13ppd,0,0.5,0,-1,-1,-1,-1,-1,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.75,-1
dhap,-1,1,-1,-1,-1,-1,-1,-1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.666666666666666,0.666666666666666
mthgxl,-1,1,-1,-1,-1,-1,-1,-1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.666666666666666,0.666666666666666
met_4HBAD,1,1,-1,-1,-1,-1,-1,-1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.666666666666666,0.666666666666666
fum,1,1,-1,-1,-1,-1,-1,-1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.666666666666666,0.666666666666666
mal__L,1,1,-1,-1,-1,-1,-1,-1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.666666666666666,0.666666666666666
acgam1p,-1,1,-1,-1,-1,-1,-1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.666666666666666,0.666666666666666
12ppd__S,-1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,0.75,0.75
lald__L,-1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666666,0.75
acgam,-1,-1,-1,-1,-1,-1,-1,-1,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
gam1p,-1,-1,-1,-1,-1,-1,-1,-1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.666666666666666,0.666666666666666
gam6p,-1,-1,-1,-1,-1,-1,-1,-1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.666666666666666,0.666666666666666
met_58055,0.6,0.5,0.5,-1,-1,-1,-1,1,0.428571428571428,0.5,0.5,0.5,0.5,0.428571428571428,0.5,0.5,0.5,0.5,0.625,0.625
skm,0,-1,0.5,-1,-1,-1,-1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
34hpp,0,-1,0.666666666666666,-1,-1,-1,-1,1,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
pac,0,-1,0.666666666666666,-1,-1,-1,-1,1,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
met_6PHX,1,-1,-1,-1,-1,-1,-1,1,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
met_75317,1,-1,-1,-1,-1,-1,-1,1,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
3dhsk,0,-1,-1,-1,-1,-1,-1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.666666666666666,0.666666666666666
2dda7p,0,-1,-1,-1,-1,-1,-1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.666666666666666,0.666666666666666
