Target path,yeast850,iYO844,iCW773,iJN1463,iML1515
phe__L,1,5.0,3.0,4.0,2
pacald,1,5.0,3.0,4.0,2
pac,1,5.0,3.0,4.0,2
mthgxl,1,5.0,3.0,4.0,2
met_4APETH,1,5.0,3.0,4.0,2
met_4APEAM,1,5.0,3.0,4.0,2
met_4APAADH,1,5.0,3.0,4.0,2
met_4APAA,1,5.0,3.0,4.0,2
met_4ACAA,1,5.0,3.0,4.0,2
met_36656,1,5.0,3.0,4.0,2
met_27452,1,5.0,3.0,4.0,2
met_1883,1,5.0,3.0,4.0,2
met_1879,1,5.0,3.0,4.0,2
met_18351,1,5.0,3.0,4.0,2
met_17756,1,5.0,3.0,4.0,2
met_16997,1,5.0,3.0,4.0,2
met_143072,1,5.0,3.0,4.0,2
met_11009,1,5.0,3.0,4.0,2
lald__L,1,5.0,3.0,4.0,2
lald__D,1,5.0,3.0,4.0,2
ichor,1,5.0,3.0,4.0,2
glyc_path_3,1,5.0,3.0,4.0,2
glyc_path_1,1,5.0,3.0,4.0,2
glyc3p,1,5.0,3.0,4.0,2
dhap,1,5.0,3.0,4.0,2
cinnm,1,5.0,3.0,4.0,2
chor,1,5.0,3.0,4.0,2
catechol,1,5.0,3.0,4.0,2
anth,1,5.0,3.0,4.0,2
ala_B,1,5.0,3.0,4.0,2
acgam1p,1,5.0,3.0,4.0,2
acetol_path_1,1,5.0,3.0,4.0,2
acetol,1,5.0,3.0,4.0,2
T4hcinnm,1,5.0,3.0,4.0,2
4hoxpacd,1,5.0,3.0,4.0,2
4hbz,1,5.0,3.0,4.0,2
4abz,1,5.0,3.0,4.0,2
3hppnl,1,5.0,3.0,4.0,2
3hpp_path_1,1,5.0,3.0,4.0,2
3dhsk,1,5.0,3.0,4.0,2
34hpp,1,5.0,3.0,4.0,2
34hpl,1,5.0,3.0,4.0,2
34dhbz_path_3,1,5.0,3.0,4.0,2
34dhbz_path_2,1,5.0,3.0,4.0,2
34dhbz_path_1,1,5.0,3.0,4.0,2
34dhbz,1,5.0,3.0,4.0,2
2dda7p,1,5.0,3.0,4.0,2
13ppd_path_2,1,5.0,3.0,4.0,2
13ppd_path_1,1,5.0,3.0,4.0,2
13ppd,1,5.0,3.0,4.0,2
12ppd__R,1,5.0,3.0,4.0,2
12ppd__S,1,5.0,3.0,4.0,2
3hpp,2,4.0,4.0,4.0,1
val__L,2,5.0,4.0,3.0,1
subeac,2,5.0,4.0,3.0,1
pser__L,2,5.0,4.0,3.0,1
octa,2,5.0,4.0,3.0,1
met_76283,2,5.0,4.0,3.0,1
met_75460_path_1,2,5.0,4.0,3.0,1
met_75460,2,5.0,4.0,3.0,1
met_28398_path_1,2,5.0,4.0,3.0,1
btd_RR,2,5.0,4.0,3.0,1
met_16812,2,5.0,4.0,3.0,1
ppoh_path_1,2,4.5,4.5,3.0,1
sucsal,2,4.0,5.0,3.0,1
ppa_path_1,2,4.0,5.0,3.0,1
met_87755,2,4.0,5.0,3.0,1
met_39150,2,4.0,5.0,3.0,1
hxa,2,4.0,5.0,3.0,1
glyc__R,2,4.0,5.0,3.0,1
hpta,2,4.0,5.0,3.0,1
trp__L,1,5.0,4.0,3.0,2
ptrc_path_1,1,5.0,4.0,3.0,2
pro__L_path_1,1,5.0,4.0,3.0,2
pro__L,1,5.0,4.0,3.0,2
met_R13BDO,1,5.0,4.0,3.0,2
met_74904,1,5.0,4.0,3.0,2
met_58055,1,5.0,4.0,3.0,2
met_57504,1,5.0,4.0,3.0,2
met_4HBAD,1,5.0,4.0,3.0,2
met_45713,1,5.0,4.0,3.0,2
met_36592,1,5.0,4.0,3.0,2
met_17296,1,5.0,4.0,3.0,2
met_15687,1,5.0,4.0,3.0,2
ipdp,1,5.0,4.0,3.0,2
ibutac,1,5.0,4.0,3.0,2
grdp,1,5.0,4.0,3.0,2
glyald,1,5.0,4.0,3.0,2
glu5sa,1,5.0,4.0,3.0,2
glu5p,1,5.0,4.0,3.0,2
gln__L,1,5.0,4.0,3.0,2
gam6p_path_1,1,5.0,4.0,3.0,2
gam6p,1,5.0,4.0,3.0,2
gam1p,1,5.0,4.0,3.0,2
actn__R,1,5.0,4.0,3.0,2
acald,1,5.0,4.0,3.0,2
5aop,1,5.0,4.0,3.0,2
4abutn,1,5.0,4.0,3.0,2
3hpp_path_2,1,5.0,4.0,3.0,2
1pyr5c,1,5.0,4.0,3.0,2
34dhcinm_path_1,1,5.0,4.0,3.0,2
pta,1,4.0,5.0,3.0,2
met_TIGLATE,1,4.0,5.0,3.0,2
met_MP2TN,1,4.0,5.0,3.0,2
met_M2P2TEN,1,4.0,5.0,3.0,2
met_89209,1,4.0,5.0,3.0,2
met_48946,1,4.0,5.0,3.0,2
met_37830,1,4.0,5.0,3.0,2
met_28398,1,4.0,5.0,3.0,2
met_17128_path_1,1,4.0,5.0,3.0,2
glyc_path_2,1,4.0,5.0,3.0,2
4abut_path_1,1,4.0,5.0,3.0,2
ghb,1,4.0,5.0,3.0,2
oxa,4,2.0,5.0,1.0,3
met_HBA_path_1,3,4.0,5.0,1.0,2
met_HBA,3,4.0,5.0,1.0,2
glyclt,3,4.0,5.0,1.0,2
glx,3,4.0,5.0,1.0,2
ghb_path_2,3,4.0,5.0,1.0,2
3mb,3,4.0,5.0,1.0,2
ghb_path_1,3,4.0,5.0,1.0,2
met_DHB23_path_1,2,4.0,5.0,1.0,3
met_DHB23,2,4.0,5.0,1.0,3
met_74904_path_1,2,4.0,5.0,1.0,3
ac,2,4.0,5.0,1.0,3
4mop,2,4.0,5.0,1.0,3
CE2028,2,4.0,5.0,1.0,3
ser__L,3,5.0,4.0,2.0,1
etha,3,5.0,4.0,2.0,1
ppa,3,5.0,4.0,2.0,1
met_17128,3,4.5,4.5,2.0,1
but,3,4.0,5.0,2.0,1
met_32383,3,4.0,5.0,2.0,1
ibt,4,5.0,3.0,1.0,2
btoh,3,5.0,4.0,1.0,2
met_88764,3,5.0,4.0,1.0,2
acetone,4,3.0,5.0,2.0,1
for,5,3.0,4.0,2.0,1
mal__L_path_1,4,5.0,3.0,2.0,1
mal__L,4,5.0,3.0,2.0,1
fum_path_1,4,5.0,3.0,2.0,1
fum,4,5.0,3.0,2.0,1
asp__L,4,5.0,3.0,2.0,1
3mob,4,5.0,3.0,2.0,1
alac__S,4,5.0,3.0,2.0,1
met_2PETO,5,4.0,2.0,3.0,1
succ,4,5.0,2.0,3.0,1
succ_path_1,4,5.0,2.0,3.0,1
malon,5,3.0,4.0,1.0,2
3php,5,4.0,3.0,2.0,1
acorn,5,4.0,3.0,2.0,1
icit,5,4.0,3.0,1.0,2
acon_C,5,4.0,3.0,1.0,2
cit,5,4.0,3.0,1.0,2
