Template model,Target model,Target chemical,Target ID,Air condition,Carbon source,Target reaction,Regulation type,Normalized SoC,SoC,Positive metabolite ID,Negative metabolite ID
iYO844,iYO844_3mob,3-methyl-2-oxobutanoate,3mob,aerobic,sucrose,UNK5,Down,1.0,0.145699926211439,oaa_c,asp__L_c
iYO844,iYO844_3mob,3-methyl-2-oxobutanoate,3mob,aerobic,D-xylose,ACLS,Up,1.0,0.227792853204185,alac__S_c,pyr_c
iYO844,iYO844_3mob,3-methyl-2-oxobutanoate,3mob,aerobic,D-xylose,ASPO1,Down,1.0,0.143840920929991,oaa_c,asp__L_c
iYO844,iYO844_3mob,3-methyl-2-oxobutanoate,3mob,aerobic,D-xylose,ASPTA,Down,1.0,0.143840920929991,oaa_c,asp__L_c
iYO844,iYO844_3mob,3-methyl-2-oxobutanoate,3mob,aerobic,D-xylose,UNK5,Down,1.0,0.143840920929991,oaa_c,asp__L_c
iYO844,iYO844_3mob,3-methyl-2-oxobutanoate,3mob,aerobic,L-arabinose,ACLS,Up,1.0,0.227792853204174,alac__S_c,pyr_c
iYO844,iYO844_3mob,3-methyl-2-oxobutanoate,3mob,aerobic,L-arabinose,ASPO1,Down,1.0,0.140922735036734,oaa_c,asp__L_c
iYO844,iYO844_3mob,3-methyl-2-oxobutanoate,3mob,aerobic,L-arabinose,ASPTA,Down,1.0,0.140922735036734,oaa_c,asp__L_c
iYO844,iYO844_3mob,3-methyl-2-oxobutanoate,3mob,aerobic,L-arabinose,UNK5,Down,1.0,0.140922735036734,oaa_c,asp__L_c
iYO844,iYO844_ipdp,isopentenyl diphosphate(3-),ipdp,aerobic,D-glucose,ACACT1r,Up,1.0,0.0961703969033563,aacoa_c,accoa_c
iYO844,iYO844_ipdp,isopentenyl diphosphate(3-),ipdp,aerobic,D-galactose,ACACT1r,Up,1.0,0.096189691081445,aacoa_c,accoa_c
iYO844,iYO844_ipdp,isopentenyl diphosphate(3-),ipdp,aerobic,glycerol,ME2,Up,1.0,-0.020829961747585,pyr_c,mal__L_c
iYO844,iYO844_ipdp,isopentenyl diphosphate(3-),ipdp,aerobic,glycerol,PC,Down,1.0,0.0790433483024125,oaa_c,pyr_c
iYO844,iYO844_ipdp,isopentenyl diphosphate(3-),ipdp,aerobic,glycerol,UNK5,Down,0.86782887080741,0.0683813099462093,oaa_c,asp__L_c
iYO844,iYO844_ipdp,isopentenyl diphosphate(3-),ipdp,aerobic,glycerol,ASPTA,Down,0.86782887080741,0.0683813099462093,oaa_c,asp__L_c
iYO844,iYO844_ipdp,isopentenyl diphosphate(3-),ipdp,aerobic,glycerol,ASPO1,Down,0.86782887080741,0.0683813099462093,oaa_c,asp__L_c
iYO844,iYO844_ipdp,isopentenyl diphosphate(3-),ipdp,aerobic,sucrose,ACACT1r,Up,1.0,0.0961367287390113,aacoa_c,accoa_c
iYO844,iYO844_ipdp,isopentenyl diphosphate(3-),ipdp,aerobic,D-xylose,ACACT1r,Up,1.0,0.0956405323694697,aacoa_c,accoa_c
iYO844,iYO844_ipdp,isopentenyl diphosphate(3-),ipdp,aerobic,L-arabinose,ACACT1r,Up,1.0,0.0958389798178139,aacoa_c,accoa_c
iYO844,iYO844_met_14BDO,"1,4-butanediol",met_14BDO,aerobic,D-glucose,ME2,Up,1.0,-0.0558189429184188,pyr_c,mal__L_c
iYO844,iYO844_met_14BDO,"1,4-butanediol",met_14BDO,aerobic,D-glucose,AKGDH,Down,1.0,0.16119182768499,succoa_c,akg_c
iYO844,iYO844_met_14BDO,"1,4-butanediol",met_14BDO,aerobic,D-glucose,ASPT,Down,0.518505843620982,0.044114192119859,fum_c,asp__L_c
iYO844,iYO844_met_14BDO,"1,4-butanediol",met_14BDO,aerobic,fructose,ME2,Up,1.0,-0.0570578847575315,pyr_c,mal__L_c
iYO844,iYO844_met_14BDO,"1,4-butanediol",met_14BDO,aerobic,fructose,AKGDH,Down,1.0,0.162163227917567,succoa_c,akg_c
iYO844,iYO844_met_14BDO,"1,4-butanediol",met_14BDO,aerobic,fructose,ASPT,Down,0.521288798319194,0.0455382003235008,fum_c,asp__L_c
iYO844,iYO844_met_14BDO,"1,4-butanediol",met_14BDO,aerobic,D-galactose,ME2,Up,1.0,-0.0553370400924848,pyr_c,mal__L_c
iYO844,iYO844_met_14BDO,"1,4-butanediol",met_14BDO,aerobic,D-galactose,AKGDH,Down,1.0,0.157104809873318,succoa_c,akg_c
iYO844,iYO844_met_14BDO,"1,4-butanediol",met_14BDO,aerobic,glycerol,ME2,Up,1.0,-0.0587985048255519,pyr_c,mal__L_c
iYO844,iYO844_met_14BDO,"1,4-butanediol",met_14BDO,aerobic,glycerol,AKGDH,Down,1.0,0.228295737065707,succoa_c,akg_c
iYO844,iYO844_met_14BDO,"1,4-butanediol",met_14BDO,aerobic,glycerol,ASPT,Down,0.508912340662926,0.0597385830087381,fum_c,asp__L_c
iYO844,iYO844_met_14BDO,"1,4-butanediol",met_14BDO,aerobic,sucrose,ME2,Up,1.0,-0.0598350253136626,pyr_c,mal__L_c
iYO844,iYO844_met_14BDO,"1,4-butanediol",met_14BDO,aerobic,sucrose,AKGDH,Down,1.0,0.161192265671185,succoa_c,akg_c
iYO844,iYO844_met_14BDO,"1,4-butanediol",met_14BDO,aerobic,D-xylose,ME2,Up,1.0,-0.0560774036943024,pyr_c,mal__L_c
iYO844,iYO844_met_14BDO,"1,4-butanediol",met_14BDO,aerobic,D-xylose,AKGDH,Down,1.0,0.155887208328651,succoa_c,akg_c
iYO844,iYO844_met_14BDO,"1,4-butanediol",met_14BDO,aerobic,L-arabinose,AKGDH,Down,1.0,0.156131284571222,succoa_c,akg_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,D-glucose,ANS,Up,1.0,0.0569483121266261,pyr_c,gln__L_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,D-glucose,GLUSy,Up,0.853590179997459,-0.015417337970462,glu__L_c,gln__L_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,D-glucose,IG3PS_1,Up,0.853590179997459,-0.015417337970462,glu__L_c,gln__L_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,D-glucose,GF6PTA,Up,0.853590179997459,-0.015417337970462,glu__L_c,gln__L_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,D-glucose,ADCS,Up,0.853590179997459,-0.015417337970462,glu__L_c,gln__L_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,D-glucose,GMPS2,Up,0.853590179997459,-0.015417337970462,glu__L_c,gln__L_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,D-glucose,GLUN,Up,0.853590179997459,-0.015417337970462,glu__L_c,gln__L_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,D-glucose,GLUPRT,Up,0.853590179997459,-0.015417337970462,glu__L_c,gln__L_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,D-glucose,CBPS,Up,0.853590179997459,-0.015417337970462,glu__L_c,gln__L_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,D-glucose,PRFGS_1,Up,0.853590179997459,-0.015417337970462,glu__L_c,gln__L_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,D-glucose,CTPS2,Up,0.853590179997459,-0.015417337970462,glu__L_c,gln__L_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,D-glucose,ANS,Up,0.853590179997459,-0.015417337970462,glu__L_c,gln__L_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,D-glucose,ASNS1,Up,0.853590179997459,-0.015417337970462,glu__L_c,gln__L_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,D-glucose,PC,Down,1.0,0.324480182394417,oaa_c,pyr_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,D-glucose,ASPO1,Down,0.932688598528252,0.303676729193396,oaa_c,asp__L_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,D-glucose,ASPTA,Down,0.932688598528252,0.303676729193396,oaa_c,asp__L_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,D-glucose,UNK5,Down,0.932688598528252,0.303676729193396,oaa_c,asp__L_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,D-glucose,HSTPTr,Down,0.898862845216007,0.293222445659931,akg_c,glu__L_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,D-glucose,APTA1i,Down,0.898862845216007,0.293222445659931,akg_c,glu__L_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,D-glucose,GLUDxi,Down,0.898862845216007,0.293222445659931,akg_c,glu__L_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,D-glucose,PSERT,Down,0.898862845216007,0.293222445659931,akg_c,glu__L_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,D-glucose,ASPT,Down,0.776001762508305,0.255250649969282,fum_c,asp__L_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,D-glucose,PDH,Down,0.636329236720453,0.21208306186141,accoa_c,pyr_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,fructose,ALATA_L,Up,1.0,-0.228126775217962,pyr_c,akg_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,fructose,2S6HCCi,Up,1.0,-0.228126775217962,pyr_c,akg_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,fructose,ACOTA,Up,0.678814309906659,-0.289747228036531,glu__L_c,akg_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,fructose,ORNTA_1,Up,0.678814309906659,-0.289747228036531,glu__L_c,akg_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,fructose,ABTA,Up,0.678814309906659,-0.289747228036531,glu__L_c,akg_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,fructose,ILETA,Up,0.678814309906659,-0.289747228036531,glu__L_c,akg_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,fructose,GLUSy,Up,0.678814309906659,-0.289747228036531,glu__L_c,akg_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,fructose,PHETA1,Up,0.678814309906659,-0.289747228036531,glu__L_c,akg_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,fructose,ALATA_L,Up,0.678814309906659,-0.289747228036531,glu__L_c,akg_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,fructose,TYRTA,Up,0.678814309906659,-0.289747228036531,glu__L_c,akg_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,fructose,LEUTA,Up,0.678814309906659,-0.289747228036531,glu__L_c,akg_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,fructose,VALTA,Up,0.678814309906659,-0.289747228036531,glu__L_c,akg_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,fructose,PC,Down,1.0,0.344974197917463,oaa_c,pyr_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,fructose,ASPO1,Down,0.966202548201128,0.340489727108642,oaa_c,asp__L_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,fructose,UNK5,Down,0.966202548201128,0.340489727108642,oaa_c,asp__L_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,fructose,ASPT,Down,0.625469309942662,0.295278973657216,fum_c,asp__L_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,fructose,HSTPTr,Down,0.583779016048692,0.289747228036531,akg_c,glu__L_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,fructose,PSERT,Down,0.583779016048692,0.289747228036531,akg_c,glu__L_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,fructose,APTA1i,Down,0.583779016048692,0.289747228036531,akg_c,glu__L_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,fructose,GLUDxi,Down,0.583779016048692,0.289747228036531,akg_c,glu__L_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,D-galactose,ALATA_L,Up,1.0,-0.227555927999489,pyr_c,akg_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,D-galactose,2S6HCCi,Up,1.0,-0.227555927999489,pyr_c,akg_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,D-galactose,ACOTA,Up,0.69211979735631,-0.288349699503484,glu__L_c,akg_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,D-galactose,ABTA,Up,0.69211979735631,-0.288349699503484,glu__L_c,akg_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,D-galactose,ILETA,Up,0.69211979735631,-0.288349699503484,glu__L_c,akg_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,D-galactose,GLUSy,Up,0.69211979735631,-0.288349699503484,glu__L_c,akg_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,D-galactose,PHETA1,Up,0.69211979735631,-0.288349699503484,glu__L_c,akg_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,D-galactose,ALATA_L,Up,0.69211979735631,-0.288349699503484,glu__L_c,akg_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,D-galactose,LEUTA,Up,0.69211979735631,-0.288349699503484,glu__L_c,akg_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,D-galactose,TYRTA,Up,0.69211979735631,-0.288349699503484,glu__L_c,akg_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,D-galactose,VALTA,Up,0.69211979735631,-0.288349699503484,glu__L_c,akg_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,D-galactose,ORNTA_1,Up,0.69211979735631,-0.288349699503484,glu__L_c,akg_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,D-galactose,PC,Down,1.0,0.34526710794113,oaa_c,pyr_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,D-galactose,ASPO1,Down,0.97973673302683,0.34253888691142,oaa_c,asp__L_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,D-galactose,UNK5,Down,0.97973673302683,0.34253888691142,oaa_c,asp__L_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,D-galactose,ASPT,Down,0.651059844615244,0.298286239984753,fum_c,asp__L_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,D-galactose,HSTPTr,Down,0.577258356257467,0.288349699503484,akg_c,glu__L_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,D-galactose,PSERT,Down,0.577258356257467,0.288349699503484,akg_c,glu__L_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,D-galactose,APTA1i,Down,0.577258356257467,0.288349699503484,akg_c,glu__L_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,D-galactose,GLUDxi,Down,0.577258356257467,0.288349699503484,akg_c,glu__L_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,glycerol,ANS,Up,1.0,0.113150418026232,pyr_c,gln__L_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,glycerol,ASNS1,Up,0.951507625868625,-0.0155314955280616,glu__L_c,gln__L_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,glycerol,GLUSy,Up,0.951507625868625,-0.0155314955280616,glu__L_c,gln__L_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,glycerol,IG3PS_1,Up,0.951507625868625,-0.0155314955280616,glu__L_c,gln__L_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,glycerol,GF6PTA,Up,0.951507625868625,-0.0155314955280616,glu__L_c,gln__L_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,glycerol,ADCS,Up,0.951507625868625,-0.0155314955280616,glu__L_c,gln__L_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,glycerol,GMPS2,Up,0.951507625868625,-0.0155314955280616,glu__L_c,gln__L_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,glycerol,GLUN,Up,0.951507625868625,-0.0155314955280616,glu__L_c,gln__L_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,glycerol,GLUPRT,Up,0.951507625868625,-0.0155314955280616,glu__L_c,gln__L_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,glycerol,CBPS,Up,0.951507625868625,-0.0155314955280616,glu__L_c,gln__L_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,glycerol,PRFGS_1,Up,0.951507625868625,-0.0155314955280616,glu__L_c,gln__L_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,glycerol,CTPS2,Up,0.951507625868625,-0.0155314955280616,glu__L_c,gln__L_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,glycerol,ANS,Up,0.951507625868625,-0.0155314955280616,glu__L_c,gln__L_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,glycerol,ALATA_L,Up,0.89643879194397,-0.161665048557035,pyr_c,akg_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,glycerol,2S6HCCi,Up,0.89643879194397,-0.161665048557035,pyr_c,akg_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,glycerol,ME2,Up,0.887999609705921,-0.184059706246583,pyr_c,mal__L_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,glycerol,ACOTA,Up,0.847946417812595,-0.290346962111329,glu__L_c,akg_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,glycerol,ORNTA_1,Up,0.847946417812595,-0.290346962111329,glu__L_c,akg_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,glycerol,VALTA,Up,0.847946417812595,-0.290346962111329,glu__L_c,akg_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,glycerol,TYRTA,Up,0.847946417812595,-0.290346962111329,glu__L_c,akg_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,glycerol,LEUTA,Up,0.847946417812595,-0.290346962111329,glu__L_c,akg_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,glycerol,ALATA_L,Up,0.847946417812595,-0.290346962111329,glu__L_c,akg_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,glycerol,PHETA1,Up,0.847946417812595,-0.290346962111329,glu__L_c,akg_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,glycerol,GLUSy,Up,0.847946417812595,-0.290346962111329,glu__L_c,akg_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,glycerol,ILETA,Up,0.847946417812595,-0.290346962111329,glu__L_c,akg_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,glycerol,ABTA,Up,0.847946417812595,-0.290346962111329,glu__L_c,akg_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,glycerol,P5CD,Up,0.827257216839257,-0.345248913579942,glu__L_c,1pyr5c_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,glycerol,HSTPTr,Down,1.0,0.290346962111329,akg_c,glu__L_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,glycerol,APTA1i,Down,1.0,0.290346962111329,akg_c,glu__L_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,glycerol,GLUDxi,Down,1.0,0.290346962111329,akg_c,glu__L_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,glycerol,PSERT,Down,1.0,0.290346962111329,akg_c,glu__L_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,glycerol,ASPO1,Down,0.810322003495999,0.238220515001503,oaa_c,asp__L_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,glycerol,UNK5,Down,0.810322003495999,0.238220515001503,oaa_c,asp__L_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,glycerol,PC,Down,0.743412877926803,0.219832852439526,oaa_c,pyr_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,glycerol,ASPT,Down,0.699871928466852,0.207867126098211,fum_c,asp__L_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,glycerol,PDH,Down,0.54407602726324,0.16505200281718,accoa_c,pyr_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,sucrose,ANS,Up,1.0,0.0564805441529175,pyr_c,gln__L_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,sucrose,GLUSy,Up,0.846676898470366,-0.0197734030907294,glu__L_c,gln__L_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,sucrose,IG3PS_1,Up,0.846676898470366,-0.0197734030907294,glu__L_c,gln__L_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,sucrose,GF6PTA,Up,0.846676898470366,-0.0197734030907294,glu__L_c,gln__L_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,sucrose,ADCS,Up,0.846676898470366,-0.0197734030907294,glu__L_c,gln__L_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,sucrose,GMPS2,Up,0.846676898470366,-0.0197734030907294,glu__L_c,gln__L_c
iYO844,iYO844_acald,acetaldehyde,acald,aerobic,sucrose,GLUN,Up,0.846676898470366,-0.0197734030907294,glu__L_c,gln__L_c
