Reaction set,B. subtilis,C. glutamicum,E. coli,P. putida,S. cerevisiae
GDR;PFK_ppi;SO3R,0.0,0.0,4.95582705760126,0.0,0.0
GLYCDy;HSDxi;SPTc,0.0,0.0,4.95582705760126,0.0,0.0
GLYCDy;HSDx;SPTc,0.0,0.0,4.93447393313069,0.0,0.0
APSR2;GDR;SO3R,0.0,0.0,4.9272536851572,0.0,0.0
GDR;SADT;SO3R,0.0,0.0,4.9272536851572,0.0,0.0
FDH7;PC;POR_2,0.0,0.0,4.76217393479775,0.0,0.0
FDH7;POR_2;PYRC,0.0,0.0,4.76217393479775,0.0,0.0
PKETF;PYRC;SPTc,0.0,0.0,4.85203026391961,0.0,0.0
PC;PKETX;SPTc,0.0,0.0,4.85203026391961,0.0,0.0
PC;PKETF;SPTc,0.0,0.0,4.85203026391961,0.0,0.0
FBA2;GLYCDy;H2ASE_syn,0.0,0.0,4.85203026391961,0.0,0.0
PKETX;PYRC;SPTc,0.0,0.0,4.85203026391961,0.0,0.0
GLYCDy;PC;PKETX,0.0,0.0,4.86753445045558,0.0,0.0
GLYCDy;PC;PKETF,0.0,0.0,4.86753445045558,0.0,0.0
GLYCDy;PKETF;PYRC,0.0,0.0,4.86753445045558,0.0,0.0
GLYCDy;PKETX;PYRC,0.0,0.0,4.86753445045558,0.0,0.0
PYRC,0.0,0.0,4.88280192258637,0.0,0.0
PC,0.0,0.0,4.88280192258637,0.0,0.0
HSDx;SPTc,0.0,0.0,5.22035582507832,0.0,0.0
HSDxi;SPTc,0.0,0.0,5.22035582507832,0.0,0.0
FBA2;GLYCDy,0.0,0.0,5.22035582507832,0.0,0.0
DAAD8;FADMQOR;HPYRDC,0.0,0.0,5.25749537202778,0.0,0.0
DAAD8;HPYRDC;SUCD4,0.0,0.0,5.25749537202778,0.0,0.0
DAAD8;FRD;HPYRDC,0.0,0.0,5.25749537202778,0.0,0.0
INOSR;MI2DH;PKETX,0.0,0.0,5.27299955856374,0.0,0.0
INOSR;MI2DH;PKETF,0.0,0.0,5.27299955856374,0.0,0.0
GLYCDy;SPTc,0.0,0.0,5.15905529921452,0.0,0.0
HSDx;PYRC;SPTc,0.0,0.0,5.14749447681345,0.0,0.0
HSDx;PC;SPTc,0.0,0.0,5.14749447681345,0.0,0.0
HSDxi;PC;SPTc,0.0,0.0,5.14749447681345,0.0,0.0
HSDxi;PYRC;SPTc,0.0,0.0,5.14749447681345,0.0,0.0
HSDxi;PC,0.0,0.0,5.09986642782419,0.0,0.0
HSDx;PC,0.0,0.0,5.09986642782419,0.0,0.0
HSDxi;PYRC,0.0,0.0,5.09986642782419,0.0,0.0
HSDx;PYRC,0.0,0.0,5.09986642782419,0.0,0.0
PYRC;SPTc,0.0,0.0,5.10594547390058,0.0,0.0
PC;SPTc,0.0,0.0,5.10594547390058,0.0,0.0
H2ASE_syn;INOSR;MI2DH,0.0,0.0,5.08759633523238,0.0,0.0
SADT;SO3R;SO3TRDRD,0.0,0.0,5.07517381523382,0.0,0.0
APSR;SADT;SO3R,0.0,0.0,5.07517381523382,0.0,0.0
APSR2;SADT;SO3R,0.0,0.0,5.07517381523382,0.0,0.0
GLYCDy;PKETF;SUCD1,0.0,0.693147180559945,3.29583686600432,0.0,0.0
GLYCDy;PKETX;SUCD1,0.0,0.693147180559945,3.29583686600432,0.0,0.0
GLYCDy;PFK_ppi,0.0,0.0,4.17438726989563,0.693147180559945,0.0
H2ASE_syn;HSDx;SPTc,0.0,0.0,3.46573590279972,0.0,0.0
FDH6r;GDR;URIDK2r_copy2,0.0,0.0,3.46573590279972,0.0,0.0
FDH6r;GLYCDy;PFK_ppi,0.0,0.0,3.46573590279972,0.0,0.0
PKETF;SPTc,0.0,0.0,3.46573590279972,0.0,0.0
PKETX;SPTc,0.0,0.0,3.46573590279972,0.0,0.0
GDR;PC;PFK_ppi,0.0,0.0,3.46573590279972,0.0,0.0
GDR;PFK_ppi;PYRC,0.0,0.0,3.46573590279972,0.0,0.0
GDR;GLYCDy;PFK_ppi,0.0,0.0,3.49650756146648,0.0,0.0
GDR;PFK_ppi;PPDK,0.0,0.0,3.49650756146648,0.0,0.0
HSDxi;PKETX;SPTc,0.0,0.0,3.40119738166215,0.0,0.0
HSDxi;PKETF;SPTc,0.0,0.0,3.40119738166215,0.0,0.0
PFK_ppi;PYRC,0.0,0.0,3.43398720448514,0.0,0.0
DAAD8;SUCD4,0.0,0.0,3.43398720448514,0.0,0.0
PC;PFK_ppi,0.0,0.0,3.43398720448514,0.0,0.0
DAAD8;FRD,0.0,0.0,3.43398720448514,0.0,0.0
DAAD8;FADMQOR,0.0,0.0,3.43398720448514,0.0,0.0
DAAD8;FADOX;FRD5,0.0,0.0,3.43398720448514,0.0,0.0
DAAD8;FADMQOR;GLYCDy,0.0,0.0,3.3322045101752,0.0,0.0
DAAD8;GLYCDy;SUCD4,0.0,0.0,3.3322045101752,0.0,0.0
DAAD8;FRD;GLYCDy,0.0,0.0,3.3322045101752,0.0,0.0
HSDx;PKETF;SPTc,0.0,0.0,3.36729582998647,0.0,0.0
FDH6r;H2ASE_syn;SPTc,0.0,0.0,3.36729582998647,0.0,0.0
HSDx;PKETX;SPTc,0.0,0.0,3.36729582998647,0.0,0.0
FDH6r;H2ASE_syn;PFK_ppi,0.0,0.0,3.36729582998647,0.0,0.0
PFK_ppi;PKETX;SUCD1,0.0,0.0,3.25809653802148,0.0,0.0
PFK_ppi;PKETF;SUCD1,0.0,0.0,3.25809653802148,0.0,0.0
H2ASE_syn;PFK_ppi;SUCD1,0.0,0.0,3.25809653802148,0.0,0.0
FDH6r;PKETX;PYRC,0.0,0.0,3.29583686600432,0.0,0.0
FDH6r;PKETF;PYRC,0.0,0.0,3.29583686600432,0.0,0.0
H2ASE_syn;PFK_ppi,0.0,0.0,3.29583686600432,0.0,0.0
FDH6r;PC;PKETX,0.0,0.0,3.29583686600432,0.0,0.0
FDH6r;PC;PKETF,0.0,0.0,3.29583686600432,0.0,0.0
FRDO5r;POR_2;PYRC,0.0,0.0,3.68887945411393,0.0,0.0
FBA2;GLYCDy;HSDx,0.0,0.0,3.68887945411393,0.0,0.0
GLYCDy;PFK_ppi;PKETF,0.0,0.0,3.7135720667043,0.0,0.0
GLYCDy;PFK_ppi;PKETX,0.0,0.0,3.7135720667043,0.0,0.0
H2ASE_syn;HSDxi,0.0,0.0,3.63758615972638,0.0,0.0
FDH6r;PFK_ppi;SUCD1,0.0,0.0,3.63758615972638,0.0,0.0
FRDO5r;PC;POR_2,0.0,0.0,3.66356164612964,0.0,0.0
FRDO5r;PC;POR,0.0,0.0,3.66356164612964,0.0,0.0
GDR;H2ASE_syn;PFK_ppi,0.0,0.0,3.66356164612964,0.0,0.0
FRDO5r;POR;PYRC,0.0,0.0,3.66356164612964,0.0,0.0
GDR;H2ASE_syn;URIDK2r_copy2,0.0,0.0,3.58351893845611,0.0,0.0
GDR;PFK_ppi,0.0,0.0,3.58351893845611,0.0,0.0
FBA2;GLYCDy;PY5PSH,0.0,0.0,3.58351893845611,0.0,0.0
H2ASE_syn;HSDx,0.0,0.0,3.58351893845611,0.0,0.0
GLYCDy;PFK_ppi;SPTc,0.0,0.0,3.58351893845611,0.0,0.0
FDH6r;GDR;PFK_ppi,0.0,0.0,3.61091791264422,0.0,0.0
FDH6r;H2ASE_syn;HSDxi,0.0,0.0,3.61091791264422,0.0,0.0
H2ASE_syn;SPTc,0.0,0.0,3.61091791264422,0.0,0.0
GDR;GLYCDy;URIDK2r_copy2,0.0,0.0,3.61091791264422,0.0,0.0
H2ASE_syn;HSDxi;SPTc,0.0,0.0,3.55534806148941,0.0,0.0
FDH6r;H2ASE_syn;HSDx,0.0,0.0,3.52636052461616,0.0,0.0
FDH6r;HSDxi;SPTc,0.0,0.0,3.78418963391826,0.0,0.0
HPYRDC;PFK_ppi,0.0,0.0,3.78418963391826,0.0,0.0
GLYCDy;PC;SPTc,0.0,0.0,3.80666248977031,0.0,0.0
GLYCDy;PYRC;SPTc,0.0,0.0,3.80666248977031,0.0,0.0
FDH6r;HSDx;SPTc,0.0,0.0,3.73766961828336,0.0,0.0
PC;PKETF;SUCD1,0.0,0.0,3.76120011569356,0.0,0.0
PC;PKETX;SUCD1,0.0,0.0,3.76120011569356,0.0,0.0
PKETX;PYRC;SUCD1,0.0,0.0,3.76120011569356,0.0,0.0
FBA2;GLYCDy;HSDxi,0.0,0.0,3.76120011569356,0.0,0.0
PKETF;PYRC;SUCD1,0.0,0.0,3.76120011569356,0.0,0.0
2DHPFALDL;PFK_ppi,0.0,0.0,3.85014760171005,0.0,0.0
GDR;URIDK2r_copy2,0.0,0.0,3.85014760171005,0.0,0.0
FBA2;GLYCDy;SPTc,0.0,0.0,3.89182029811062,0.0,0.0
GDR;PYRC;URIDK2r_copy2,0.0,0.0,3.89182029811062,0.0,0.0
GDR;PC;URIDK2r_copy2,0.0,0.0,3.89182029811062,0.0,0.0
INOSR;MI2DH;PFK_ppi,0.0,0.0,3.91202300542814,0.0,0.0
PFK_ppi;SUCD1,0.0,0.0,3.93182563272432,0.0,0.0
PFK_ppi;PPDK;SUCD1,0.0,0.0,3.93182563272432,0.0,0.0
FBA2;GLYCDy;PFK_ppi,0.0,0.0,4.00733318523247,0.0,0.0
FRDO5r;POR_2;SPTc,0.0,0.0,4.07753744390572,0.0,0.0
PFK_ppi;PPDK;SPTc,0.0,0.0,4.07753744390572,0.0,0.0
FRDO5r;POR;SPTc,0.0,0.0,4.07753744390572,0.0,0.0
FBA2;GLYCDy;PKETX,0.0,0.0,4.11087386417331,0.0,0.0
FBA2;GLYCDy;PKETF,0.0,0.0,4.11087386417331,0.0,0.0
GLYCDy;HSDx;PYRC,0.0,0.0,4.0943445622221,0.0,0.0
GLYCDy;HSDxi;PC,0.0,0.0,4.0943445622221,0.0,0.0
GLYCDy;HSDxi;PYRC,0.0,0.0,4.0943445622221,0.0,0.0
GLYCDy;HSDx;PC,0.0,0.0,4.0943445622221,0.0,0.0
H2ASE_syn;PKETX;SUCD1,0.0,0.0,4.17438726989563,0.0,0.0
H2ASE_syn;PKETF;SUCD1,0.0,0.0,4.17438726989563,0.0,0.0
FBA2;FDH6r;GLYCDy,0.0,0.0,4.23410650459726,0.0,0.0
FBA2;GLYCDy;PYRC,0.0,0.0,4.2195077051761,0.0,0.0
FBA2;GLYCDy;PC,0.0,0.0,4.2195077051761,0.0,0.0
FDH6r;PFK_ppi;PPDK,0.0,0.0,4.34380542185368,0.0,0.0
FBA2;GLYCDy;SUCD1,0.0,0.0,4.27666611901605,0.0,0.0
PC;PKETX,0.0,0.0,4.4543472962535,0.0,0.0
PKETX;PYRC,0.0,0.0,4.4543472962535,0.0,0.0
PKETF;PYRC,0.0,0.0,4.4543472962535,0.0,0.0
PC;PKETF,0.0,0.0,4.4543472962535,0.0,0.0
GLYCDy;PFK_ppi;PPDK,0.0,0.0,4.40671924726425,0.0,0.0
